
bharathchandra@Bharath:~/CN$ sudo python3 Sniff.py
Starting packet capture... (Press Ctrl+C to stop)
^C----- Metrics -----
Total data transferred: 324423865 bytes
Total packets: 328830
Minimum packet size: 54 bytes
Maximum packet size: 1514 bytes
Average packet size: 986.60 bytes
Histogram saved as 'packet_size_histogram.png'.

----- Unique Source-Destination Pairs (TCP flows) -----
10.7.11.235:54908 -> 142.250.67.234:443 : 2421 bytes
142.250.67.234:443 -> 10.7.11.235:54908 : 7294 bytes
10.7.11.235:54909 -> 10.240.8.31:8009 : 3333 bytes
10.240.8.31:8009 -> 10.7.11.235:54909 : 4944 bytes
10.7.11.235:54910 -> 10.240.8.31:8009 : 3333 bytes
10.240.8.31:8009 -> 10.7.11.235:54910 : 4944 bytes
10.7.11.235:54911 -> 142.250.192.97:443 : 2425 bytes
142.250.192.97:443 -> 10.7.11.235:54911 : 12169 bytes
10.7.11.235:54912 -> 10.240.8.31:8009 : 3394 bytes
10.240.8.31:8009 -> 10.7.11.235:54912 : 5055 bytes
10.7.11.235:54913 -> 100.25.225.34:443 : 4190 bytes
100.25.225.34:443 -> 10.7.11.235:54913 : 6843 bytes
10.7.11.235:54914 -> 10.240.8.31:8009 : 6662 bytes
10.240.8.31:8009 -> 10.7.11.235:54914 : 5374 bytes
10.7.11.235:54915 -> 142.250.70.35:443 : 2465 bytes
142.250.70.35:443 -> 10.7.11.235:54915 : 14218 bytes
10.7.11.235:54916 -> 104.18.32.47:443 : 17255 bytes
104.18.32.47:443 -> 10.7.11.235:54916 : 3877 bytes
10.7.11.235:54917 -> 142.250.70.100:443 : 2392 bytes
142.250.70.100:443 -> 10.7.11.235:54917 : 5873 bytes
10.7.11.235:54918 -> 142.251.12.101:443 : 2450 bytes
142.251.12.101:443 -> 10.7.11.235:54918 : 9489 bytes
10.7.11.235:54919 -> 10.240.8.31:8009 : 3942 bytes
10.240.8.31:8009 -> 10.7.11.235:54919 : 5397 bytes
10.7.11.235:54920 -> 142.250.192.69:443 : 287696 bytes
142.250.192.69:443 -> 10.7.11.235:54920 : 2026062 bytes
10.7.11.235:54921 -> 216.58.203.46:443 : 2447 bytes
216.58.203.46:443 -> 10.7.11.235:54921 : 9419 bytes
10.7.11.235:54922 -> 108.158.46.39:443 : 5220 bytes
108.158.46.39:443 -> 10.7.11.235:54922 : 1494 bytes
10.7.11.235:54923 -> 34.233.9.203:443 : 2637 bytes
34.233.9.203:443 -> 10.7.11.235:54923 : 7979 bytes
10.7.11.235:54924 -> 172.217.167.234:443 : 2356 bytes
172.217.167.234:443 -> 10.7.11.235:54924 : 7351 bytes
10.7.11.235:54925 -> 142.250.192.131:443 : 2361 bytes
142.250.192.131:443 -> 10.7.11.235:54925 : 6861 bytes
10.7.11.235:54926 -> 142.250.70.78:443 : 2414 bytes
142.250.70.78:443 -> 10.7.11.235:54926 : 9416 bytes
10.7.11.235:54927 -> 142.250.182.234:443 : 2396 bytes
142.250.182.234:443 -> 10.7.11.235:54927 : 12613 bytes
10.7.11.235:54928 -> 142.250.66.10:443 : 2438 bytes
142.250.66.10:443 -> 10.7.11.235:54928 : 12672 bytes
10.7.11.235:54929 -> 142.250.70.42:443 : 2515 bytes
142.250.70.42:443 -> 10.7.11.235:54929 : 12616 bytes
10.7.11.235:54930 -> 142.251.42.10:443 : 2574 bytes
142.251.42.10:443 -> 10.7.11.235:54930 : 12691 bytes
10.7.11.235:54931 -> 142.250.207.234:443 : 2482 bytes
142.250.207.234:443 -> 10.7.11.235:54931 : 12703 bytes
10.7.11.235:54932 -> 142.250.183.10:443 : 2424 bytes
142.250.183.10:443 -> 10.7.11.235:54932 : 12697 bytes
10.7.11.235:54933 -> 142.250.192.202:443 : 2517 bytes
142.250.192.202:443 -> 10.7.11.235:54933 : 12683 bytes
10.7.11.235:54934 -> 142.250.192.129:443 : 2425 bytes
10.7.11.235:54935 -> 142.250.192.129:443 : 2425 bytes
10.7.11.235:54936 -> 142.250.192.129:443 : 2457 bytes
10.7.11.235:54937 -> 142.250.192.129:443 : 2307 bytes
142.250.192.129:443 -> 10.7.11.235:54934 : 12169 bytes
142.250.192.129:443 -> 10.7.11.235:54936 : 12168 bytes
142.250.192.129:443 -> 10.7.11.235:54935 : 12169 bytes
142.250.192.129:443 -> 10.7.11.235:54937 : 12169 bytes
10.7.11.235:54938 -> 142.250.192.1:443 : 2339 bytes
142.250.192.1:443 -> 10.7.11.235:54938 : 12169 bytes
10.7.11.235:54939 -> 142.250.194.110:443 : 2350 bytes
142.250.194.110:443 -> 10.7.11.235:54939 : 9476 bytes
10.7.11.235:54940 -> 23.54.155.206:443 : 6974 bytes
23.54.155.206:443 -> 10.7.11.235:54940 : 135025 bytes
10.7.11.235:54941 -> 108.158.46.39:443 : 6792 bytes
108.158.46.39:443 -> 10.7.11.235:54941 : 1552 bytes
10.7.11.235:54942 -> 142.250.192.14:443 : 2387 bytes
142.250.192.14:443 -> 10.7.11.235:54942 : 9492 bytes
10.7.11.235:54943 -> 142.251.42.101:443 : 3293 bytes
142.251.42.101:443 -> 10.7.11.235:54943 : 10287 bytes
10.7.11.235:54944 -> 142.251.42.101:443 : 5706 bytes
142.251.42.101:443 -> 10.7.11.235:54944 : 11359 bytes
10.7.11.235:54945 -> 10.240.8.31:8009 : 3460 bytes
10.240.8.31:8009 -> 10.7.11.235:54945 : 5115 bytes
10.7.11.235:54946 -> 23.54.155.206:443 : 7275 bytes
23.54.155.206:443 -> 10.7.11.235:54946 : 157625 bytes
10.7.11.235:54947 -> 142.250.192.69:443 : 196787 bytes
142.250.192.69:443 -> 10.7.11.235:54947 : 2742828 bytes
10.7.11.235:54948 -> 10.0.136.7:53 : 387 bytes
10.0.136.7:53 -> 10.7.11.235:54948 : 1390 bytes
10.7.11.235:59680 -> 20.198.118.190:443 : 462 bytes
20.198.118.190:443 -> 10.7.11.235:59680 : 732 bytes
10.7.11.235:54949 -> 10.240.8.31:8009 : 3494 bytes
10.7.11.235:54950 -> 142.251.42.46:443 : 2415 bytes
142.251.42.46:443 -> 10.7.11.235:54950 : 9419 bytes
10.7.11.235:54951 -> 142.251.42.106:443 : 2482 bytes
142.251.42.106:443 -> 10.7.11.235:54951 : 12672 bytes
10.240.8.31:8009 -> 10.7.11.235:54949 : 5115 bytes
10.7.11.235:54952 -> 23.54.155.206:443 : 7698 bytes
23.54.155.206:443 -> 10.7.11.235:54952 : 157730 bytes
10.7.11.235:54953 -> 10.240.8.31:8009 : 3301 bytes
10.7.11.235:54954 -> 142.250.192.69:443 : 14964 bytes
142.250.192.69:443 -> 10.7.11.235:54954 : 6807 bytes
10.240.8.31:8009 -> 10.7.11.235:54953 : 4944 bytes
10.7.11.235:54955 -> 34.202.36.156:443 : 7778 bytes
34.202.36.156:443 -> 10.7.11.235:54955 : 6231 bytes
10.7.11.235:54956 -> 18.210.1.22:443 : 20614 bytes
18.210.1.22:443 -> 10.7.11.235:54956 : 8915 bytes
10.7.11.235:54957 -> 10.240.8.31:8009 : 3458 bytes
10.240.8.31:8009 -> 10.7.11.235:54957 : 5055 bytes
10.7.11.235:54958 -> 142.250.192.69:443 : 20095 bytes
142.250.192.69:443 -> 10.7.11.235:54958 : 12339 bytes
10.7.11.235:54959 -> 34.202.36.156:443 : 8553 bytes
34.202.36.156:443 -> 10.7.11.235:54959 : 12381 bytes
10.7.11.235:54960 -> 23.54.155.206:443 : 5039 bytes
23.54.155.206:443 -> 10.7.11.235:54960 : 73013 bytes
10.7.11.235:54961 -> 34.202.36.156:443 : 8736 bytes
34.202.36.156:443 -> 10.7.11.235:54961 : 7832 bytes
10.7.11.235:54962 -> 142.250.192.110:443 : 2384 bytes
142.250.192.110:443 -> 10.7.11.235:54962 : 9423 bytes
10.7.11.235:54963 -> 142.250.192.42:443 : 2519 bytes
142.250.192.42:443 -> 10.7.11.235:54963 : 12628 bytes
10.7.11.235:54964 -> 142.250.183.10:443 : 2542 bytes
142.250.183.10:443 -> 10.7.11.235:54964 : 12697 bytes
10.7.11.235:54965 -> 172.217.174.74:443 : 3916 bytes
172.217.174.74:443 -> 10.7.11.235:54965 : 12690 bytes
10.7.11.235:54966 -> 23.23.99.220:443 : 5977 bytes
23.23.99.220:443 -> 10.7.11.235:54966 : 7633 bytes
10.7.11.235:54967 -> 44.198.78.78:443 : 5743 bytes
44.198.78.78:443 -> 10.7.11.235:54967 : 9070 bytes
10.7.11.235:54968 -> 18.233.77.34:443 : 3185 bytes
18.233.77.34:443 -> 10.7.11.235:54968 : 6083 bytes
10.7.11.235:54969 -> 44.198.78.78:443 : 2074 bytes
10.7.11.235:54970 -> 44.198.78.78:443 : 2138 bytes
10.7.11.235:54971 -> 44.198.78.78:443 : 2074 bytes
44.198.78.78:443 -> 10.7.11.235:54969 : 306 bytes
44.198.78.78:443 -> 10.7.11.235:54971 : 306 bytes
44.198.78.78:443 -> 10.7.11.235:54970 : 306 bytes
10.7.11.235:54972 -> 142.251.42.99:443 : 2302 bytes
142.251.42.99:443 -> 10.7.11.235:54972 : 6881 bytes
10.7.11.235:54973 -> 142.250.70.78:443 : 2350 bytes
142.250.70.78:443 -> 10.7.11.235:54973 : 9416 bytes
10.7.11.235:54974 -> 49.44.120.91:443 : 12600 bytes
49.44.120.91:443 -> 10.7.11.235:54974 : 384368 bytes
10.7.11.235:54975 -> 142.250.192.202:443 : 2453 bytes
142.250.192.202:443 -> 10.7.11.235:54975 : 12681 bytes
10.7.11.235:54976 -> 10.240.8.31:8009 : 3590 bytes
10.240.8.31:8009 -> 10.7.11.235:54976 : 5115 bytes
10.7.11.235:54977 -> 54.197.116.140:443 : 2575 bytes
54.197.116.140:443 -> 10.7.11.235:54977 : 7931 bytes
10.7.11.235:54978 -> 10.240.8.31:8009 : 3458 bytes
10.240.8.31:8009 -> 10.7.11.235:54978 : 5055 bytes
10.7.11.235:54979 -> 142.250.192.69:443 : 10809 bytes
142.250.192.69:443 -> 10.7.11.235:54979 : 5034 bytes
10.7.11.235:54980 -> 142.250.192.17:443 : 2364 bytes
142.250.192.17:443 -> 10.7.11.235:54980 : 7808 bytes
10.7.11.235:54981 -> 142.250.192.131:443 : 2447 bytes
142.250.192.131:443 -> 10.7.11.235:54981 : 6861 bytes
10.7.11.235:54982 -> 10.240.8.31:8009 : 3394 bytes
10.240.8.31:8009 -> 10.7.11.235:54982 : 5115 bytes
10.7.11.235:54983 -> 142.250.182.238:443 : 2346 bytes
142.250.182.238:443 -> 10.7.11.235:54983 : 9405 bytes
10.7.11.235:54984 -> 142.250.66.10:443 : 2384 bytes
142.250.66.10:443 -> 10.7.11.235:54984 : 12673 bytes
10.7.11.235:54985 -> 142.250.192.14:443 : 2355 bytes
142.250.192.14:443 -> 10.7.11.235:54985 : 9490 bytes
10.7.11.235:54986 -> 142.251.42.42:443 : 2542 bytes
