
bharathchandra@Bharath:~/CN$ sudo python3 Sniff.py
Starting packet capture... (Press Ctrl+C to stop)
^C----- Metrics -----
Total data transferred: 324423865 bytes
Total packets: 328830
Minimum packet size: 54 bytes
Maximum packet size: 1514 bytes
Average packet size: 986.60 bytes
Histogram saved as 'packet_size_histogram.png'.

----- Unique Source-Destination Pairs (TCP flows) -----
10.7.11.235:54376 -> 142.250.192.227:443 : 2351 bytes
142.250.192.227:443 -> 10.7.11.235:54376 : 6921 bytes
10.7.11.235:54377 -> 23.54.155.206:443 : 14306 bytes
23.54.155.206:443 -> 10.7.11.235:54377 : 365294 bytes
10.7.11.235:54378 -> 10.240.8.31:8009 : 3492 bytes
10.240.8.31:8009 -> 10.7.11.235:54378 : 5055 bytes
10.7.11.235:54379 -> 10.240.8.31:8009 : 3558 bytes
10.7.11.235:54380 -> 142.250.67.202:443 : 2350 bytes
142.250.67.202:443 -> 10.7.11.235:54380 : 12548 bytes
10.240.8.31:8009 -> 10.7.11.235:54379 : 5115 bytes
10.7.11.235:54381 -> 49.44.131.107:443 : 1606 bytes
49.44.131.107:443 -> 10.7.11.235:54381 : 4001 bytes
10.7.11.235:54382 -> 10.240.8.31:8009 : 3479 bytes
10.240.8.31:8009 -> 10.7.11.235:54382 : 5106 bytes
10.7.11.235:54383 -> 44.199.154.62:443 : 7220 bytes
44.199.154.62:443 -> 10.7.11.235:54383 : 6776 bytes
10.7.11.235:54384 -> 142.250.194.35:443 : 2290 bytes
142.250.194.35:443 -> 10.7.11.235:54384 : 6882 bytes
10.7.11.235:54385 -> 216.58.203.35:443 : 2299 bytes
216.58.203.35:443 -> 10.7.11.235:54385 : 7256 bytes
10.7.11.235:54386 -> 108.158.46.111:443 : 4997 bytes
108.158.46.111:443 -> 10.7.11.235:54386 : 7497 bytes
10.7.11.235:54387 -> 142.250.182.206:443 : 2330 bytes
142.250.182.206:443 -> 10.7.11.235:54387 : 9421 bytes
10.7.11.235:54388 -> 142.250.182.238:443 : 2270 bytes
142.250.182.238:443 -> 10.7.11.235:54388 : 9344 bytes
10.7.11.235:54389 -> 54.192.142.70:443 : 3304 bytes
54.192.142.70:443 -> 10.7.11.235:54389 : 2538 bytes
10.7.11.235:57984 -> 10.0.136.7:53 : 367 bytes
10.7.11.235:57985 -> 10.0.136.7:53 : 313 bytes
10.7.11.235:57986 -> 10.0.136.7:53 : 367 bytes
10.7.11.235:57987 -> 10.0.136.7:53 : 367 bytes
10.0.136.7:53 -> 10.7.11.235:57987 : 391 bytes
10.0.136.7:53 -> 10.7.11.235:57986 : 1130 bytes
10.0.136.7:53 -> 10.7.11.235:57985 : 391 bytes
10.0.136.7:53 -> 10.7.11.235:57984 : 1130 bytes
10.7.11.235:57953 -> 54.197.116.140:443 : 2770 bytes
54.197.116.140:443 -> 10.7.11.235:57953 : 1617 bytes
10.7.11.235:57988 -> 52.3.134.67:443 : 626 bytes
52.3.134.67:443 -> 10.7.11.235:57988 : 246 bytes
10.7.11.235:57958 -> 3.220.46.156:443 : 8826 bytes
3.220.46.156:443 -> 10.7.11.235:57958 : 1647 bytes
10.7.11.235:57957 -> 52.45.212.154:443 : 7345 bytes
52.45.212.154:443 -> 10.7.11.235:57957 : 3020 bytes
10.7.11.235:57900 -> 10.240.8.31:8009 : 2367 bytes
10.240.8.31:8009 -> 10.7.11.235:57900 : 1731 bytes
10.7.11.235:57989 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:57990 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:57990 : 392 bytes
10.0.136.7:53 -> 10.7.11.235:57989 : 1134 bytes
52.202.6.203:443 -> 10.7.11.235:57955 : 145 bytes
10.7.11.235:57955 -> 52.202.6.203:443 : 54 bytes
10.7.11.235:57991 -> 10.0.136.7:53 : 368 bytes
10.7.11.235:57992 -> 10.0.136.7:53 : 368 bytes
10.0.136.7:53 -> 10.7.11.235:57992 : 467 bytes
10.0.136.7:53 -> 10.7.11.235:57991 : 1196 bytes
10.7.11.235:57948 -> 35.190.10.96:443 : 108 bytes
10.7.11.235:57947 -> 47.129.46.85:443 : 108 bytes
10.7.11.235:57993 -> 20.114.190.119:443 : 3539 bytes
35.190.10.96:443 -> 10.7.11.235:57948 : 60 bytes
47.129.46.85:443 -> 10.7.11.235:57947 : 60 bytes
20.114.190.119:443 -> 10.7.11.235:57993 : 6640 bytes
52.45.212.154:443 -> 10.7.11.235:57959 : 145 bytes
10.7.11.235:57959 -> 52.45.212.154:443 : 54 bytes
3.220.46.156:443 -> 10.7.11.235:57960 : 145 bytes
10.7.11.235:57960 -> 3.220.46.156:443 : 54 bytes
10.7.11.235:57994 -> 52.3.134.67:443 : 3212 bytes
52.3.134.67:443 -> 10.7.11.235:57994 : 6027 bytes
10.7.11.235:57962 -> 18.204.106.12:443 : 163 bytes
18.204.106.12:443 -> 10.7.11.235:57962 : 120 bytes
23.23.179.122:443 -> 10.7.11.235:57961 : 145 bytes
10.7.11.235:57961 -> 23.23.179.122:443 : 54 bytes
10.7.11.235:57983 -> 20.50.80.209:443 : 108 bytes
10.7.11.235:57980 -> 51.116.246.105:443 : 108 bytes
10.7.11.235:57971 -> 20.190.144.163:443 : 108 bytes
10.7.11.235:57977 -> 23.23.209.48:443 : 108 bytes
10.7.11.235:57063 -> 13.107.42.14:443 : 108 bytes
20.50.80.209:443 -> 10.7.11.235:57983 : 60 bytes
23.23.209.48:443 -> 10.7.11.235:57977 : 60 bytes
20.190.144.163:443 -> 10.7.11.235:57971 : 60 bytes
51.116.246.105:443 -> 10.7.11.235:57980 : 60 bytes
13.107.42.14:443 -> 10.7.11.235:57063 : 60 bytes
10.7.11.235:57995 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:57996 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:57995 : 583 bytes
10.0.136.7:53 -> 10.7.11.235:57996 : 385 bytes
10.7.11.235:57997 -> 10.0.136.7:53 : 373 bytes
10.7.11.235:57998 -> 10.0.136.7:53 : 373 bytes
10.7.11.235:57999 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:58000 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:57998 : 1145 bytes
10.0.136.7:53 -> 10.7.11.235:57997 : 1136 bytes
10.0.136.7:53 -> 10.7.11.235:57999 : 1134 bytes
10.0.136.7:53 -> 10.7.11.235:58000 : 392 bytes
10.7.11.235:58001 -> 10.0.136.7:53 : 376 bytes
10.7.11.235:58002 -> 10.0.136.7:53 : 376 bytes
10.7.11.235:58003 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:58004 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:58005 -> 10.0.136.7:53 : 370 bytes
10.7.11.235:58006 -> 10.0.136.7:53 : 370 bytes
10.0.136.7:53 -> 10.7.11.235:58002 : 397 bytes
10.0.136.7:53 -> 10.7.11.235:58001 : 1139 bytes
10.0.136.7:53 -> 10.7.11.235:58004 : 406 bytes
10.0.136.7:53 -> 10.7.11.235:58003 : 604 bytes
10.0.136.7:53 -> 10.7.11.235:58005 : 582 bytes
10.0.136.7:53 -> 10.7.11.235:58006 : 591 bytes
10.7.11.235:58007 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:58008 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:58007 : 1134 bytes
10.0.136.7:53 -> 10.7.11.235:58008 : 392 bytes
10.7.11.235:58009 -> 10.0.136.7:53 : 384 bytes
10.7.11.235:58010 -> 10.0.136.7:53 : 384 bytes
10.0.136.7:53 -> 10.7.11.235:58009 : 596 bytes
10.0.136.7:53 -> 10.7.11.235:58010 : 398 bytes
10.7.11.235:58011 -> 10.0.136.7:53 : 382 bytes
10.7.11.235:58012 -> 10.0.136.7:53 : 382 bytes
10.0.136.7:53 -> 10.7.11.235:58011 : 594 bytes
10.0.136.7:53 -> 10.7.11.235:58012 : 396 bytes
10.7.11.235:57956 -> 13.35.185.92:443 : 108 bytes
13.35.185.92:443 -> 10.7.11.235:57956 : 60 bytes
10.7.11.235:58013 -> 10.0.136.7:53 : 404 bytes
10.7.11.235:58014 -> 10.0.136.7:53 : 404 bytes
10.0.136.7:53 -> 10.7.11.235:58014 : 418 bytes
10.0.136.7:53 -> 10.7.11.235:58013 : 616 bytes
10.7.11.235:58015 -> 10.0.136.7:53 : 390 bytes
10.7.11.235:58016 -> 10.0.136.7:53 : 390 bytes
10.0.136.7:53 -> 10.7.11.235:58015 : 602 bytes
10.0.136.7:53 -> 10.7.11.235:58016 : 404 bytes
10.7.11.235:58017 -> 142.250.192.138:443 : 2578 bytes
142.250.192.138:443 -> 10.7.11.235:58017 : 12732 bytes
10.7.11.235:58018 -> 10.0.136.7:53 : 384 bytes
10.7.11.235:58019 -> 10.0.136.7:53 : 384 bytes
10.0.136.7:53 -> 10.7.11.235:58018 : 1259 bytes
10.0.136.7:53 -> 10.7.11.235:58019 : 435 bytes
10.7.11.235:58020 -> 52.3.41.200:443 : 7425 bytes
52.3.41.200:443 -> 10.7.11.235:58020 : 10851 bytes
10.7.11.235:58021 -> 52.3.41.200:443 : 2308 bytes
52.3.41.200:443 -> 10.7.11.235:58021 : 306 bytes
10.7.11.235:58022 -> 52.21.47.229:443 : 1846 bytes
52.21.47.229:443 -> 10.7.11.235:58022 : 7189 bytes
10.7.11.235:58023 -> 18.172.64.107:443 : 2463 bytes
18.172.64.107:443 -> 10.7.11.235:58023 : 883 bytes
10.7.11.235:58628 -> 10.240.8.31:8009 : 16481 bytes
10.240.8.31:8009 -> 10.7.11.235:58628 : 12650 bytes
10.7.11.235:63078 -> 54.88.64.163:443 : 2291 bytes
54.88.64.163:443 -> 10.7.11.235:63078 : 6204 bytes
10.7.11.235:63056 -> 54.235.64.44:443 : 54 bytes
10.7.11.235:63079 -> 54.235.64.44:443 : 1542 bytes
54.235.64.44:443 -> 10.7.11.235:63079 : 1488 bytes
10.7.11.235:63080 -> 18.239.142.78:443 : 6985 bytes
18.239.142.78:443 -> 10.7.11.235:63080 : 1830 bytes
10.7.11.235:63081 -> 10.0.136.7:53 : 382 bytes
10.7.11.235:63082 -> 10.0.136.7:53 : 382 bytes
10.0.136.7:53 -> 10.7.11.235:63082 : 403 bytes
10.0.136.7:53 -> 10.7.11.235:63081 : 1145 bytes
10.7.11.235:63083 -> 142.250.194.46:443 : 2372 bytes
142.250.194.46:443 -> 10.7.11.235:63083 : 6955 bytes
10.7.11.235:63084 -> 10.0.136.7:53 : 370 bytes
10.7.11.235:63085 -> 10.0.136.7:53 : 370 bytes
10.0.136.7:53 -> 10.7.11.235:63084 : 1133 bytes
10.0.136.7:53 -> 10.7.11.235:63085 : 1142 bytes
10.7.11.235:63086 -> 10.0.136.7:53 : 374 bytes
10.7.11.235:63087 -> 10.0.136.7:53 : 374 bytes
10.0.136.7:53 -> 10.7.11.235:63086 : 1377 bytes
10.0.136.7:53 -> 10.7.11.235:63087 : 395 bytes
10.7.11.235:63088 -> 142.250.183.164:443 : 2360 bytes
142.250.183.164:443 -> 10.7.11.235:63088 : 5873 bytes
10.7.11.235:63089 -> 142.250.67.202:443 : 2396 bytes
142.250.67.202:443 -> 10.7.11.235:63089 : 7285 bytes
10.7.11.235:63090 -> 10.0.136.7:53 : 370 bytes
10.7.11.235:63091 -> 10.0.136.7:53 : 370 bytes
10.0.136.7:53 -> 10.7.11.235:63090 : 1153 bytes
10.0.136.7:53 -> 10.7.11.235:63091 : 404 bytes
10.7.11.235:63092 -> 142.250.194.238:443 : 2446 bytes
142.250.194.238:443 -> 10.7.11.235:63092 : 9476 bytes
10.7.11.235:63093 -> 10.0.136.7:53 : 384 bytes
10.7.11.235:63094 -> 10.0.136.7:53 : 384 bytes
10.0.136.7:53 -> 10.7.11.235:63093 : 1147 bytes
10.0.136.7:53 -> 10.7.11.235:63094 : 398 bytes
10.7.11.235:63095 -> 10.0.136.7:53 : 381 bytes
10.7.11.235:63096 -> 10.0.136.7:53 : 381 bytes
10.0.136.7:53 -> 10.7.11.235:63095 : 1173 bytes
10.0.136.7:53 -> 10.7.11.235:63096 : 431 bytes
10.7.11.235:63097 -> 142.250.192.10:443 : 2482 bytes
142.250.192.10:443 -> 10.7.11.235:63097 : 12612 bytes
10.7.11.235:63098 -> 142.250.183.65:443 : 2403 bytes
142.250.183.65:443 -> 10.7.11.235:63098 : 12168 bytes
10.7.11.235:63099 -> 108.159.61.80:443 : 5220 bytes
108.159.61.80:443 -> 10.7.11.235:63099 : 1569 bytes
10.7.11.235:63100 -> 10.0.136.7:53 : 373 bytes
10.7.11.235:63101 -> 10.0.136.7:53 : 373 bytes
10.0.136.7:53 -> 10.7.11.235:63100 : 1136 bytes
10.0.136.7:53 -> 10.7.11.235:63101 : 1145 bytes
10.7.11.235:63102 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63103 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63103 : 385 bytes
10.0.136.7:53 -> 10.7.11.235:63102 : 1134 bytes
10.7.11.235:63104 -> 142.250.183.174:443 : 2383 bytes
142.250.183.174:443 -> 10.7.11.235:63104 : 8972 bytes
10.7.11.235:63105 -> 10.0.136.7:53 : 370 bytes
10.7.11.235:63106 -> 10.0.136.7:53 : 370 bytes
10.0.136.7:53 -> 10.7.11.235:63106 : 405 bytes
10.0.136.7:53 -> 10.7.11.235:63105 : 1154 bytes
10.7.11.235:63107 -> 142.250.193.206:443 : 2382 bytes
142.250.193.206:443 -> 10.7.11.235:63107 : 9476 bytes
10.7.11.235:63108 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63109 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63110 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63111 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63108 : 1134 bytes
10.0.136.7:53 -> 10.7.11.235:63109 : 392 bytes
10.0.136.7:53 -> 10.7.11.235:63111 : 392 bytes
10.0.136.7:53 -> 10.7.11.235:63110 : 1134 bytes
10.7.11.235:63112 -> 142.250.194.163:443 : 2415 bytes
142.250.194.163:443 -> 10.7.11.235:63112 : 6920 bytes
10.7.11.235:63113 -> 10.0.136.7:53 : 374 bytes
10.7.11.235:63114 -> 10.0.136.7:53 : 374 bytes
10.0.136.7:53 -> 10.7.11.235:63114 : 415 bytes
10.0.136.7:53 -> 10.7.11.235:63113 : 1217 bytes
10.7.11.235:63115 -> 52.44.154.172:443 : 6303 bytes
52.44.154.172:443 -> 10.7.11.235:63115 : 9522 bytes
10.7.11.235:63116 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63117 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63118 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63119 -> 10.0.136.7:53 : 66 bytes
10.0.136.7:53 -> 10.7.11.235:63118 : 198 bytes
10.0.136.7:53 -> 10.7.11.235:63116 : 198 bytes
10.0.136.7:53 -> 10.7.11.235:63119 : 198 bytes
10.0.136.7:53 -> 10.7.11.235:63117 : 198 bytes
10.7.11.235:63120 -> 34.199.100.127:443 : 17368 bytes
34.199.100.127:443 -> 10.7.11.235:63120 : 11024 bytes
10.7.11.235:63121 -> 10.0.136.7:53 : 370 bytes
10.7.11.235:63122 -> 10.0.136.7:53 : 370 bytes
10.0.136.7:53 -> 10.7.11.235:63121 : 1153 bytes
10.0.136.7:53 -> 10.7.11.235:63122 : 404 bytes
10.7.11.235:63123 -> 10.0.136.7:53 : 380 bytes
10.7.11.235:63124 -> 10.0.136.7:53 : 380 bytes
10.0.136.7:53 -> 10.7.11.235:63123 : 1143 bytes
10.0.136.7:53 -> 10.7.11.235:63124 : 1152 bytes
10.7.11.235:63125 -> 10.0.136.7:53 : 381 bytes
10.7.11.235:63126 -> 10.0.136.7:53 : 381 bytes
10.0.136.7:53 -> 10.7.11.235:63126 : 431 bytes
10.0.136.7:53 -> 10.7.11.235:63125 : 1173 bytes
10.7.11.235:63127 -> 10.0.136.7:53 : 384 bytes
10.7.11.235:63128 -> 10.0.136.7:53 : 384 bytes
10.0.136.7:53 -> 10.7.11.235:63127 : 1147 bytes
10.0.136.7:53 -> 10.7.11.235:63128 : 398 bytes
10.7.11.235:63129 -> 10.0.136.7:53 : 376 bytes
10.0.136.7:53 -> 10.7.11.235:63129 : 1136 bytes
10.7.11.235:63130 -> 216.239.34.157:443 : 3046 bytes
216.239.34.157:443 -> 10.7.11.235:63130 : 7786 bytes
10.7.11.235:63131 -> 10.0.136.7:53 : 367 bytes
10.7.11.235:63132 -> 10.0.136.7:53 : 367 bytes
10.0.136.7:53 -> 10.7.11.235:63131 : 1370 bytes
10.0.136.7:53 -> 10.7.11.235:63132 : 388 bytes
10.7.11.235:63133 -> 142.250.199.182:443 : 2379 bytes
142.250.199.182:443 -> 10.7.11.235:63133 : 7331 bytes
10.7.11.235:63134 -> 10.0.136.7:53 : 376 bytes
10.0.136.7:53 -> 10.7.11.235:63134 : 1136 bytes
10.7.11.235:63135 -> 216.239.34.157:443 : 2960 bytes
216.239.34.157:443 -> 10.7.11.235:63135 : 7846 bytes
10.7.11.235:63136 -> 10.0.136.7:53 : 375 bytes
10.7.11.235:63137 -> 10.0.136.7:53 : 375 bytes
10.0.136.7:53 -> 10.7.11.235:63137 : 389 bytes
10.0.136.7:53 -> 10.7.11.235:63136 : 1138 bytes
10.7.11.235:63138 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63139 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63138 : 1408 bytes
10.0.136.7:53 -> 10.7.11.235:63139 : 1167 bytes
10.7.11.235:63140 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63141 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63140 : 1408 bytes
10.0.136.7:53 -> 10.7.11.235:63141 : 1167 bytes
10.7.11.235:63142 -> 142.250.183.174:443 : 2471 bytes
142.250.183.174:443 -> 10.7.11.235:63142 : 10434 bytes
10.7.11.235:63143 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63144 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63145 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63146 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63147 -> 142.250.76.182:443 : 2443 bytes
10.7.11.235:63148 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63149 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63150 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63151 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63152 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63153 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63154 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63155 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63156 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63157 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63158 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63159 -> 10.0.136.7:53 : 66 bytes
10.7.11.235:63160 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63161 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63162 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63163 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63143 : 198 bytes
10.0.136.7:53 -> 10.7.11.235:63145 : 330 bytes
10.0.136.7:53 -> 10.7.11.235:63144 : 396 bytes
10.0.136.7:53 -> 10.7.11.235:63146 : 396 bytes
10.0.136.7:53 -> 10.7.11.235:63150 : 198 bytes
10.0.136.7:53 -> 10.7.11.235:63148 : 330 bytes
10.0.136.7:53 -> 10.7.11.235:63155 : 198 bytes
10.0.136.7:53 -> 10.7.11.235:63151 : 198 bytes
10.0.136.7:53 -> 10.7.11.235:63149 : 330 bytes
10.0.136.7:53 -> 10.7.11.235:63153 : 60 bytes
10.0.136.7:53 -> 10.7.11.235:63154 : 60 bytes
10.0.136.7:53 -> 10.7.11.235:63157 : 60 bytes
10.0.136.7:53 -> 10.7.11.235:63152 : 60 bytes
10.0.136.7:53 -> 10.7.11.235:63159 : 60 bytes
10.0.136.7:53 -> 10.7.11.235:63156 : 60 bytes
10.0.136.7:53 -> 10.7.11.235:63160 : 1068 bytes
10.0.136.7:53 -> 10.7.11.235:63158 : 60 bytes
10.0.136.7:53 -> 10.7.11.235:63162 : 1128 bytes
10.0.136.7:53 -> 10.7.11.235:63161 : 386 bytes
10.0.136.7:53 -> 10.7.11.235:63163 : 326 bytes
142.250.76.182:443 -> 10.7.11.235:63147 : 7391 bytes
10.7.11.235:63164 -> 142.250.183.198:443 : 2358 bytes
10.7.11.235:63165 -> 142.250.194.66:443 : 2395 bytes
142.250.183.198:443 -> 10.7.11.235:63164 : 7093 bytes
142.250.194.66:443 -> 10.7.11.235:63165 : 7169 bytes
10.7.11.235:63166 -> 142.250.199.170:443 : 2389 bytes
142.250.199.170:443 -> 10.7.11.235:63166 : 7293 bytes
10.7.11.235:63167 -> 142.250.183.3:443 : 2351 bytes
142.250.183.3:443 -> 10.7.11.235:63167 : 6861 bytes
10.7.11.235:63168 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63169 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63168 : 1128 bytes
10.0.136.7:53 -> 10.7.11.235:63169 : 379 bytes
10.7.11.235:63170 -> 142.250.183.206:443 : 2405 bytes
142.250.183.206:443 -> 10.7.11.235:63170 : 8911 bytes
10.7.11.235:63171 -> 10.0.136.7:53 : 370 bytes
10.7.11.235:63172 -> 10.0.136.7:53 : 370 bytes
10.0.136.7:53 -> 10.7.11.235:63172 : 399 bytes
10.0.136.7:53 -> 10.7.11.235:63171 : 1148 bytes
10.7.11.235:63173 -> 142.250.71.110:443 : 2350 bytes
142.250.71.110:443 -> 10.7.11.235:63173 : 9416 bytes
10.7.11.235:63174 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63175 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63176 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63177 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63175 : 386 bytes
10.0.136.7:53 -> 10.7.11.235:63174 : 1128 bytes
10.0.136.7:53 -> 10.7.11.235:63176 : 1128 bytes
10.0.136.7:53 -> 10.7.11.235:63177 : 386 bytes
10.7.11.235:63178 -> 10.0.136.7:53 : 384 bytes
10.7.11.235:63179 -> 10.0.136.7:53 : 384 bytes
10.0.136.7:53 -> 10.7.11.235:63179 : 435 bytes
10.0.136.7:53 -> 10.7.11.235:63178 : 1259 bytes
10.7.11.235:63180 -> 44.193.143.148:443 : 6180 bytes
44.193.143.148:443 -> 10.7.11.235:63180 : 8025 bytes
10.7.11.235:63181 -> 10.0.136.7:53 : 367 bytes
10.7.11.235:63182 -> 10.0.136.7:53 : 367 bytes
10.0.136.7:53 -> 10.7.11.235:63181 : 1130 bytes
10.0.136.7:53 -> 10.7.11.235:63182 : 391 bytes
10.7.11.235:63183 -> 44.193.143.148:443 : 2138 bytes
44.193.143.148:443 -> 10.7.11.235:63183 : 306 bytes
10.7.11.235:60869 -> 180.149.52.208:443 : 54 bytes
10.7.11.235:60877 -> 49.44.183.64:443 : 54 bytes
180.149.52.208:443 -> 10.7.11.235:60869 : 60 bytes
10.7.11.235:60885 -> 13.107.246.68:443 : 54 bytes
49.44.183.64:443 -> 10.7.11.235:60877 : 60 bytes
13.107.246.68:443 -> 10.7.11.235:60885 : 60 bytes
10.7.11.235:63184 -> 52.168.117.171:443 : 4043 bytes
52.168.117.171:443 -> 10.7.11.235:63184 : 5543 bytes
10.7.11.235:63185 -> 180.149.52.208:443 : 3724 bytes
180.149.52.208:443 -> 10.7.11.235:63185 : 25872 bytes
10.7.11.235:63186 -> 10.0.136.7:53 : 375 bytes
10.7.11.235:63187 -> 10.0.136.7:53 : 375 bytes
10.0.136.7:53 -> 10.7.11.235:63186 : 1365 bytes
10.0.136.7:53 -> 10.7.11.235:63187 : 599 bytes
10.7.11.235:63188 -> 10.0.136.7:53 : 375 bytes
10.7.11.235:63189 -> 10.0.136.7:53 : 375 bytes
10.0.136.7:53 -> 10.7.11.235:63189 : 599 bytes
10.0.136.7:53 -> 10.7.11.235:63188 : 1365 bytes
10.7.11.235:63190 -> 10.0.136.7:53 : 403 bytes
10.7.11.235:63191 -> 10.0.136.7:53 : 403 bytes
10.7.11.235:63192 -> 13.228.64.84:443 : 7051 bytes
10.7.11.235:63193 -> 13.228.64.84:443 : 2457 bytes
10.0.136.7:53 -> 10.7.11.235:63190 : 1166 bytes
10.0.136.7:53 -> 10.7.11.235:63191 : 425 bytes
13.228.64.84:443 -> 10.7.11.235:63192 : 109807 bytes
13.228.64.84:443 -> 10.7.11.235:63193 : 4412 bytes
10.7.11.235:63194 -> 199.232.45.91:443 : 2319 bytes
199.232.45.91:443 -> 10.7.11.235:63194 : 5647 bytes
10.7.11.235:63197 -> 49.44.183.64:443 : 1491 bytes
10.7.11.235:63195 -> 49.44.183.64:443 : 1507 bytes
10.7.11.235:63196 -> 49.44.183.64:443 : 5867 bytes
10.7.11.235:63199 -> 49.44.183.64:443 : 1507 bytes
10.7.11.235:63198 -> 49.44.183.64:443 : 1491 bytes
10.7.11.235:63200 -> 49.44.183.64:443 : 1491 bytes
49.44.183.64:443 -> 10.7.11.235:63196 : 50493 bytes
49.44.183.64:443 -> 10.7.11.235:63198 : 1303 bytes
49.44.183.64:443 -> 10.7.11.235:63197 : 1287 bytes
49.44.183.64:443 -> 10.7.11.235:63200 : 1287 bytes
49.44.183.64:443 -> 10.7.11.235:63199 : 1303 bytes
49.44.183.64:443 -> 10.7.11.235:63195 : 1303 bytes
10.7.11.235:63201 -> 10.0.136.7:53 : 377 bytes
10.7.11.235:63202 -> 10.0.136.7:53 : 377 bytes
10.0.136.7:53 -> 10.7.11.235:63201 : 1137 bytes
10.0.136.7:53 -> 10.7.11.235:63202 : 434 bytes
10.7.11.235:63203 -> 35.186.251.135:443 : 2413 bytes
35.186.251.135:443 -> 10.7.11.235:63203 : 5966 bytes
10.7.11.235:63204 -> 20.189.173.17:443 : 8276 bytes
20.189.173.17:443 -> 10.7.11.235:63204 : 8956 bytes
10.7.11.235:63205 -> 40.99.33.242:443 : 4812 bytes
40.99.33.242:443 -> 10.7.11.235:63205 : 11115 bytes
10.7.11.235:63206 -> 20.189.173.17:443 : 1333 bytes
20.189.173.17:443 -> 10.7.11.235:63206 : 7347 bytes
10.7.11.235:63207 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63208 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63207 : 1134 bytes
10.0.136.7:53 -> 10.7.11.235:63208 : 385 bytes
10.7.11.235:63209 -> 142.250.192.197:443 : 173223 bytes
142.250.192.197:443 -> 10.7.11.235:63209 : 697643 bytes
10.7.11.235:63210 -> 10.0.136.7:53 : 371 bytes
10.7.11.235:63211 -> 10.0.136.7:53 : 371 bytes
10.0.136.7:53 -> 10.7.11.235:63210 : 1134 bytes
10.0.136.7:53 -> 10.7.11.235:63211 : 445 bytes
10.7.11.235:63212 -> 142.250.66.14:443 : 2351 bytes
142.250.66.14:443 -> 10.7.11.235:63212 : 9419 bytes
10.7.11.235:63213 -> 18.172.64.83:443 : 1800 bytes
18.172.64.83:443 -> 10.7.11.235:63213 : 9884 bytes
10.7.11.235:63214 -> 10.0.136.7:53 : 373 bytes
10.7.11.235:63215 -> 10.0.136.7:53 : 373 bytes
